[front_panel]
mode=T1 - R1
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=72
sound speed=2710
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
0,000E+00	4,385E-01	0,000E+00	0,000E+00	
4,000E-02	5,380E-01	0,000E+00	0,000E+00	
8,000E-02	6,409E-01	0,000E+00	0,000E+00	
1,200E-01	7,437E-01	0,000E+00	0,000E+00	
1,600E-01	8,432E-01	0,000E+00	0,000E+00	
2,000E-01	9,364E-01	0,000E+00	0,000E+00	
2,400E-01	1,021E+00	0,000E+00	0,000E+00	
2,800E-01	1,095E+00	0,000E+00	0,000E+00	
3,200E-01	1,157E+00	0,000E+00	0,000E+00	
3,600E-01	1,208E+00	0,000E+00	0,000E+00	
4,000E-01	1,247E+00	0,000E+00	0,000E+00	
4,400E-01	1,275E+00	0,000E+00	0,000E+00	
4,800E-01	1,295E+00	0,000E+00	0,000E+00	
5,200E-01	1,306E+00	0,000E+00	0,000E+00	
5,600E-01	1,312E+00	0,000E+00	0,000E+00	
6,000E-01	1,313E+00	0,000E+00	0,000E+00	
6,400E-01	1,311E+00	0,000E+00	0,000E+00	
6,800E-01	1,307E+00	0,000E+00	0,000E+00	
7,200E-01	1,303E+00	0,000E+00	0,000E+00	
7,600E-01	1,298E+00	0,000E+00	0,000E+00	
8,000E-01	1,293E+00	0,000E+00	0,000E+00	
8,400E-01	1,288E+00	0,000E+00	0,000E+00	
8,800E-01	1,281E+00	0,000E+00	0,000E+00	
9,200E-01	1,271E+00	0,000E+00	0,000E+00	
9,600E-01	1,259E+00	0,000E+00	0,000E+00	
1,000E+00	1,242E+00	0,000E+00	0,000E+00	
1,040E+00	1,221E+00	0,000E+00	0,000E+00	
1,080E+00	1,195E+00	0,000E+00	0,000E+00	
1,120E+00	1,164E+00	0,000E+00	0,000E+00	
1,160E+00	1,127E+00	0,000E+00	0,000E+00	
1,200E+00	1,086E+00	0,000E+00	0,000E+00	
1,240E+00	1,040E+00	0,000E+00	0,000E+00	
1,280E+00	9,914E-01	0,000E+00	0,000E+00	
1,320E+00	9,403E-01	0,000E+00	0,000E+00	
1,360E+00	8,880E-01	0,000E+00	0,000E+00	
1,400E+00	8,357E-01	0,000E+00	0,000E+00	
1,440E+00	7,845E-01	0,000E+00	0,000E+00	
1,480E+00	7,354E-01	0,000E+00	0,000E+00	
1,520E+00	6,892E-01	0,000E+00	0,000E+00	
1,560E+00	6,466E-01	0,000E+00	0,000E+00	
1,600E+00	6,076E-01	0,000E+00	0,000E+00	
1,640E+00	5,724E-01	0,000E+00	0,000E+00	
1,680E+00	5,406E-01	0,000E+00	0,000E+00	
1,720E+00	5,117E-01	0,000E+00	0,000E+00	
1,760E+00	4,851E-01	0,000E+00	0,000E+00	
1,800E+00	4,601E-01	0,000E+00	0,000E+00	
1,840E+00	4,359E-01	0,000E+00	0,000E+00	
1,880E+00	4,121E-01	0,000E+00	0,000E+00	
1,920E+00	3,880E-01	0,000E+00	0,000E+00	
1,960E+00	3,635E-01	0,000E+00	0,000E+00	
2,000E+00	3,383E-01	0,000E+00	0,000E+00	
2,040E+00	3,127E-01	0,000E+00	0,000E+00	
2,080E+00	2,869E-01	0,000E+00	0,000E+00	
2,120E+00	2,611E-01	0,000E+00	0,000E+00	
2,160E+00	2,360E-01	0,000E+00	0,000E+00	
2,200E+00	2,120E-01	0,000E+00	0,000E+00	
2,240E+00	1,896E-01	0,000E+00	0,000E+00	
2,280E+00	1,693E-01	0,000E+00	0,000E+00	
2,320E+00	1,513E-01	0,000E+00	0,000E+00	
2,360E+00	1,358E-01	0,000E+00	0,000E+00	
2,400E+00	1,229E-01	0,000E+00	0,000E+00	
2,440E+00	1,125E-01	0,000E+00	0,000E+00	
2,480E+00	1,044E-01	0,000E+00	0,000E+00	
2,520E+00	9,820E-02	0,000E+00	0,000E+00	
2,560E+00	9,356E-02	0,000E+00	0,000E+00	
2,600E+00	9,004E-02	0,000E+00	0,000E+00	
2,640E+00	8,722E-02	0,000E+00	0,000E+00	
2,680E+00	8,471E-02	0,000E+00	0,000E+00	
2,720E+00	8,218E-02	0,000E+00	0,000E+00	
2,760E+00	7,938E-02	0,000E+00	0,000E+00	
2,800E+00	7,614E-02	0,000E+00	0,000E+00	
2,840E+00	7,237E-02	0,000E+00	0,000E+00	
2,880E+00	6,808E-02	0,000E+00	0,000E+00	
2,920E+00	6,334E-02	0,000E+00	0,000E+00	
2,960E+00	5,828E-02	0,000E+00	0,000E+00	
3,000E+00	5,307E-02	0,000E+00	0,000E+00	
3,040E+00	4,788E-02	0,000E+00	0,000E+00	
3,080E+00	4,291E-02	0,000E+00	0,000E+00	
3,120E+00	3,833E-02	0,000E+00	0,000E+00	
3,160E+00	3,427E-02	0,000E+00	0,000E+00	
3,200E+00	3,082E-02	0,000E+00	0,000E+00	
3,240E+00	2,802E-02	0,000E+00	0,000E+00	
3,280E+00	2,586E-02	0,000E+00	0,000E+00	
3,320E+00	2,427E-02	0,000E+00	0,000E+00	
3,360E+00	2,316E-02	0,000E+00	0,000E+00	
3,400E+00	2,241E-02	0,000E+00	0,000E+00	
3,440E+00	2,188E-02	0,000E+00	0,000E+00	
3,480E+00	2,143E-02	0,000E+00	0,000E+00	
3,520E+00	2,096E-02	0,000E+00	0,000E+00	
3,560E+00	2,038E-02	0,000E+00	0,000E+00	
3,600E+00	1,964E-02	0,000E+00	0,000E+00	
