# Abstand/mm Intensität/mikroA
17.5 0.074
18 0.18
18.5 0.24
19 0.22
19.5 0.14
20 0.05
20.25 0.034
20.5 0.052
20.75 0.12
21 0.24
21.25 0.48
21.5 0.74
21.75 1
22 1.2
22.25 1.3
22.5 1.2
22.75 1
23 0.7
23.25 0.48
23.5 0.56
23.75 0.9
24 1.6
24.25 2.5
24.5 3.6
24.75 4.2
25 4.6
25.25 4.5
25.5 3.8
25.75 3
26 2
26.25 1.2
26.5 0.7
26.75 0.54
27 0.64
27.25 0.88
27.5 1.1
27.75 1.2
28 1.2
28.25 1
28.5 0.75
28.75 0.5
29 0.3
29.25 0.16
29.5 0.08
29.75 0.04
30 0.027
30 0.046
31 0.1
31.5 0.14
32 0.12
32.5 0.068
