# U/V Ia1/mA Ia2/mA Ia3/mA Ia4/mA Ia5/mA
0 0 0 0 0 0
10 0.007 0.014 0.022 0.027 0.030
20 0.014 0.031 0.047 0.062 0.077
30 0.018 0.045 0.076 0.103 0.129
40 0.020 0.054 0.102 0.145 0.183
50 0.021 0.059 0.120 0.188 0.241
60 0.022 0.061 0.132 0.225 0.308
70 0.022 0.063 0.139 0.250 0.359
80 0.022 0.065 0.143 0.262 0.407
90 0.023 0.066 0.146 0.271 0.452
100 0.024 0.066 0.145 0.283 0.493
110 0.025 0.066 0.147 0.293 0.529
120 0.025 0.066 0.149 0.298 0.555
130 0.025 0.067 0.150 0.301 0.575
140 0.025 0.068 0.151 0.304 0.590
150 0.025 0.068 0.152 0.307 0.605
160 0.025 0.068 0.153 0.312 0.615
170 0.026 0.069 0.154 0.314 0.621
180 0.026 0.069 0.156 0.315 0.626
190 0.026 0.070 0.157 0.317 0.628
200 0.026 0.070 0.157 0.317 0.632
210 0.026 0.070 0.157 0.318 0.634
220 0.026 0.070 0.157 0.319 0.638
230 0.026 0.070 0.158 0.321 0.641
240 0.026 0.071 0.159 0.322 0.644
250 0.027 0.071 0.159 0.323 0.647
