#Z�hlrohrwinkel	Rate bei 35kV mit Zn
#2*theta/�	R(35kV)/Imp/s

34.0	64.0
34.2	65.0
34.4	65.0
34.5	64.0
34.8	66.0
35.0	60.0
35.2	59.0
35.4	64.0
35.5	59.0
35.8	60.0
36.0	57.0
36.2	60.0
36.4	56.0
36.5	58.0
36.8	59.0
37.0	64.0
37.2	75.0
37.4	87.0
37.5	96.0
37.8	103.0
38.0	107.0
38.2	106.0
38.4	101.0
38.6	103.0
38.8	97.0
39.0	95.0
39.2	97.0
39.4	97.0
39.5	99.0
39.8	119.0
40.0	182.0
40.2	700.0
40.4	1037.0
40.5	1195.0
40.8	973.0
41.0	825.0
41.2	295.0
41.4	152.0
41.5	137.0
41.8	121.0
