Zählrohrwinkel	Rate bei 35kV
2*theta/°	R(35kV)/Imp/s

26,0	29,0
26,1	31,0
26,2	34,0
26,3	30,0
26,4	30,0
26,5	30,0
26,6	32,0
26,7	35,0
26,8	35,0
26,9	36,0
27,0	41,0
27,1	68,0
27,2	81,0
27,3	100,0
27,4	120,0
27,5	138,0
27,6	159,0
27,7	180,0
27,8	199,0
27,9	239,0
28,0	240,0
28,1	262,0
28,2	273,0
28,3	273,0
28,4	274,0
28,5	284,0
28,6	283,0
28,7	283,0
28,8	283,0
28,9	272,0
29,0	260,0
29,1	246,0
29,2	241,0
29,3	212,0
29,4	200,0
29,5	201,0
29,6	187,0
29,7	183,0
29,8	182,0
29,9	161,0
30,0	142,0
