Zählrohrwinkel	Rate bei 35kV mit Br
2*theta/°	R(35kV)/Imp/s

22,0	21,0
22,2	19,0
22,4	19,0
22,6	18,0
22,8	19,0
23,0	18,0
23,2	19,0
23,4	17,0
23,6	17,0
23,8	17,0
24,0	15,0
24,2	16,0
24,4	15,0
24,6	15,0
24,8	16,0
25,0	16,0
25,2	17,0
25,4	17,0
25,6	18,0
25,8	21,0
26,0	31,0
26,2	43,0
26,4	46,0
26,6	47,0
26,8	46,0
27,0	42,0
27,2	39,0
27,4	39,0
27,6	40,0
27,8	38,0
28,0	38,0
28,2	36,0
28,4	36,0
28,6	33,0
28,8	35,0
29,0	30,0
29,2	30,0
29,4	31,0
29,6	27,0
29,8	28,0
30,0	24,0
