#Z�hlrohrwinkel	Rate bei 35kV
#2*theta/�	R(35kV)/Imp/s
# Winkel/2theta Rate /Imp/s

8.0	47.0
8.4	44.0
8.8	35.0
9.2	34.0
9.6	41.0
10.0	54.0
10.4	66.0
10.8	91.0
11.2	98.0
11.6	110.0
12.0	118.0
12.4	127.0
12.8	136.0
13.2	150.0
13.6	154.0
14.0	159.0
14.4	180.0
14.8	185.0
15.2	198.0
15.6	219.0
16.0	225.0
16.4	228.0
16.7	233.0
17.2	239.0
17.6	256.0
18.0	243.0
18.4	260.0
18.8	259.0
19.2	272.0
19.6	277.0
20.0	274.0
20.4	294.0
20.8	300.0
21.2	297.0
21.6	296.0
22.0	314.0
22.4	284.0
22.8	308.0
23.2	298.0
23.6	293.0
24.0	297.0
24.4	299.0
24.8	287.0
25.2	316.0
25.6	291.0
26.0	289.0
26.4	265.0
26.8	253.0
27.2	237.0
27.6	226.0
28.0	228.0
28.4	222.0
28.8	209.0
29.2	213.0
29.6	211.0
30.0	224.0
30.4	213.0
30.8	232.0
31.2	202.0
31.6	216.0
32.0	199.0
32.4	206.0
32.8	204.0
33.2	194.0
33.6	190.0
34.0	197.0
34.4	183.0
34.8	177.0
35.2	177.0
35.5	184.0
36.0	179.0
36.4	185.0
36.8	167.0
37.2	178.0
37.5	170.0
38.0	153.0
38.4	156.0
38.8	150.0
39.2	154.0
39.5	212.0
40.0	1769.0
40.4	1538.0
40.8	658.0
41.2	245.0
41.5	207.0
42.0	199.0
42.4	185.0
42.8	187.0
43.2	186.0
43.6	186.0
44.0	285.0
44.4	2915.0
44.8	5724.0
45.2	4243.0
45.5	584.0
46.0	187.0
46.4	144.0
46.8	125.0
47.2	131.0
47.6	115.0
48.0	109.0
48.4	109.0
48.8	103.0
49.2	95.0
49.6	97.0
50.0	94.0
50.4	95.0
50.8	80.0
51.2	86.0
51.6	81.0
52.0	73.0
