#Z�hlrohrwinkel	Rate bei 35kV mit Ge
+2*theta/�	R(35kV)/Imp/s

28.0	40.0
28.2	37.0
28.4	37.0
28.6	36.0
28.8	36.0
29.0	34.0
29.2	34.0
29.4	34.0
29.6	35.0
29.8	32.0
30.0	32.0
30.2	35.0
30.4	33.0
30.6	31.0
30.8	33.0
31.0	31.0
31.2	31.0
31.4	31.0
31.6	36.0
31.8	48.0
32.0	57.0
32.2	64.0
32.4	70.0
32.5	64.0
32.8	68.0
33.0	68.0
33.2	68.0
33.4	62.0
33.6	63.0
33.8	59.0
34.0	56.0
34.2	56.0
34.4	57.0
34.5	50.0
34.8	53.0
35.0	53.0
35.2	52.0
35.4	51.0
35.5	51.0
35.8	50.0
36.0	49.0
