Zählrohrwinkel	Rate bei 35kV mit Sr
2*theta/°	R(35kV)/Imp/s

18,0	53,0
18,2	49,0
18,4	45,0
18,6	42,0
18,8	44,0
19,0	44,0
19,2	44,0
19,4	42,0
19,6	39,0
19,8	36,0
20,0	37,0
20,2	39,0
20,4	37,0
20,6	34,0
20,8	34,0
21,0	35,0
21,2	36,0
21,4	38,0
21,6	45,0
21,7	63,0
22,0	107,0
22,2	140,0
22,4	158,0
22,6	163,0
22,8	165,0
23,0	159,0
23,2	156,0
23,4	149,0
23,6	147,0
23,8	140,0
24,0	140,0
24,2	137,0
24,4	137,0
24,6	131,0
24,8	132,0
25,0	128,0
25,2	130,0
25,4	124,0
25,6	128,0
25,8	120,0
26,0	122,0
