#Z�hlrohrwinkel	Rate bei 35kV mit Wi
#2*theta/�	R(35kV)/Imp/s

18.0	117.0
18.2	114.0
18.4	110.0
18.6	106.0
18.8	111.0
19.0	107.0
19.2	105.0
19.4	101.0
19.6	104.0
19.8	102.0
20.0	96.0
20.2	97.0
20.4	94.0
20.6	94.0
20.8	95.0
21.0	94.0
21.2	94.0
21.4	94.0
21.6	93.0
21.7	100.0
22.0	102.0
22.2	108.0
22.4	111.0
22.6	117.0
22.8	121.0
23.0	123.0
23.2	128.0
23.4	120.0
23.6	116.0
23.8	107.0
24.0	109.0
24.2	107.0
24.4	109.0
24.6	103.0
24.8	104.0
25.0	99.0
25.2	99.0
25.4	92.0
25.6	99.0
25.8	96.0
26.0	93.0
26.2	95.0
26.4	109.0
26.6	128.0
26.8	140.0
27.0	140.0
27.2	138.0
27.4	131.0
27.6	130.0
27.8	127.0
28.0	124.0
28.2	118.0
28.4	120.0
28.6	113.0
28.8	117.0
29.0	110.0
29.2	112.0
29.4	107.0
29.6	107.0
29.8	102.0
30.0	103.0
