Zählrohrwinkel	Rate bei 35kV mit Zr
2*theta/°	R(35kV)/Imp/s

16,0	110,0
16,2	105,0
16,4	106,0
16,6	108,0
16,7	106,0
17,0	104,0
17,2	103,0
17,4	103,0
17,6	99,0
17,7	99,0
18,0	96,0
18,2	90,0
18,4	89,0
18,6	91,0
18,8	89,0
19,0	90,0
19,2	91,0
19,4	107,0
19,6	147,0
19,8	178,0
20,0	216,0
20,2	232,0
20,4	231,0
20,6	230,0
20,8	241,0
21,0	235,0
21,2	234,0
21,4	225,0
21,6	234,0
21,7	234,0
22,0	232,0
22,2	237,0
22,4	234,0
22,6	231,0
22,8	231,0
23,0	222,0
23,2	218,0
23,4	216,0
23,6	213,0
23,8	206,0
24,0	208,0
