Pixel,GreyValue
0,123000
1,123000
2,123000
3,123000
4,123000
5,123000
6,123000
7,123000
8,123000
9,123000
10,123000
11,123000
12,123000
13,123000
14,123000
15,123000
16,123000
17,123000
18,123000
19,123000
20,123000
21,123000
22,123000
23,123000
24,123000
25,123000
26,123000
27,123000
28,123000
29,123000
30,123000
31,123000
32,123000
33,123000
34,123000
35,123000
36,123000
37,123000
38,123000
39,123000
40,123000
41,123000
42,123000
43,123000
44,123000
45,123000
46,123000
47,123000
48,123000
49,123000
50,123000
51,123000
52,123000
53,123000
54,123000
55,123000
56,123000
57,123000
58,123000
59,123000
60,123000
61,123000
62,123000
63,123000
64,127667
65,130000
66,129667
67,129556
68,129667
69,130111
70,132111
71,132667
72,134667
73,134667
74,136000
75,136667
76,138000
77,136667
78,132667
79,133667
80,128444
81,62889
82,80111
83,143000
84,143667
85,145333
86,148000
87,148333
88,150333
89,151556
90,151556
91,151667
92,153111
93,154778
94,160111
95,165333
96,168000
97,171333
98,170000
99,174333
100,174000
101,174000
102,175667
103,177778
104,178778
105,181111
106,179889
107,179778
108,179000
109,178000
110,172444
111,171333
112,171000
113,169667
114,165889
115,164444
116,164333
117,163333
118,161333
119,162000
120,161667
121,159000
122,155667
123,156667
124,154000
125,153667
126,154778
127,152111
128,144333
129,139333
130,133000
131,130667
132,130222
133,99667
134,13333
135,115556
136,140000
137,145667
138,149778
139,155444
140,158000
141,156444
142,157778
143,159000
144,162333
145,165222
146,167222
147,169000
148,167889
149,169222
150,169000
151,166778
152,167889
153,168222
154,167111
155,167222
156,168000
157,166667
158,133222
159,50444
160,154333
161,166111
162,164444
163,165000
164,165333
165,165333
166,164333
167,163667
168,162000
169,162333
170,162000
171,161444
172,161778
173,162556
174,160667
175,161000
176,158667
177,156667
178,156000
179,157889
180,156889
181,158667
182,159333
183,159000
184,160000
185,161333
186,164333
187,164667
188,163667
189,163333
190,162333
191,160333
192,157667
193,155333
194,145444
195,48000
196,132556
197,156333
198,157000
199,157333
200,157000
201,157333
202,158000
203,157333
204,153778
205,153000
206,151333
207,151667
208,151000
209,153000
210,153556
211,156667
212,154111
213,152000
214,152000
215,133222
216,33444
217,140333
218,147667
219,148000
220,147667
221,148000
222,148667
223,146667
224,145000
225,146333
226,146667
227,147000
228,146667
229,143333
230,141000
231,140333
232,140000
233,141333
234,143000
235,141333
236,139333
237,138333
238,138000
239,137667
240,137000
241,137333
242,137667
243,136333
244,132667
245,132333
246,131444
247,126333
248,28333
249,76111
250,127444
251,128778
252,127667
253,126889
254,125222
255,124667
256,124333
257,122667
258,122333
259,119667
260,119333
261,117333
262,114000
263,110667
264,109333
265,106778
266,105667
267,84111
268,6000
269,72778
270,107556
271,109667
272,107667
273,106333
274,107667
275,104667
276,101000
277,99667
278,99000
279,99000
280,100000
281,99000
282,99333
283,100222
284,102000
285,104111
286,103889
287,102667
288,105889
289,110000
290,108000
291,107000
292,105667
293,103333
294,101000
295,101667
296,101667
297,102000
298,102000
299,99333
300,44444
301,28667
302,91333
303,99667
304,100444
305,100444
306,100333
307,101000
308,101000
309,99667
310,95000
311,96000
312,96667
313,92000
314,92333
315,93667
316,94000
317,94333
318,92000
319,87000
320,7000
321,61111
322,75889
323,74889
324,75111
325,76333
326,76889
327,77667
328,78111
329,79222
330,79667
331,80667
332,80667
333,78333
334,77667
335,77444
336,77000
337,76333
338,75778
339,77444
340,77667
341,79000
342,84000
343,86667
344,86333
345,85667
346,85667
347,86667
348,87000
349,87667
350,86667
351,87000
352,86333
353,84333
354,84333
355,84333
356,83222
357,77778
358,6111
359,67111
360,78889
361,85667
362,84889
363,85889
364,86000
365,85778
366,85889
367,84778
368,83889
369,84111
370,82667
371,82333
372,83000
373,83000
374,82000
375,80000
376,80333
377,80333
378,79556
379,79000
380,79000
381,78000
382,74889
383,26111
384,57000
385,72444
386,74444
387,76111
388,76111
389,76444
390,76889
391,74556
392,73222
393,72444
394,72222
395,72889
396,72667
397,72556
398,72111
399,71667
400,72111
401,71667
402,72444
403,71889
404,71778
405,71667
406,70333
407,68000
408,70111
409,69778
410,68333
411,70000
412,70000
413,68000
414,67000
415,63444
416,61000
417,57778
418,56778
419,56333
420,56222
421,54667
422,53778
423,55778
424,56333
425,58556
426,61667
427,63333
428,64333
429,65667
430,65000
431,66000
432,66333
433,66333
434,66000
435,66000
436,67111
437,67556
438,67333
439,63556
440,18222
441,47333
442,62000
443,16889
444,77889
445,99111
446,61667
447,62000
448,88000
449,90667
450,108111
451,111333
452,185333
453,185333
454,185333
455,185333
456,185333
457,185333
458,130444
459,122333
460,137889
461,184000
462,185333
463,118222
464,82444
465,108667
466,182222
467,185333
468,185333
469,185333
470,185333
471,185333
472,185333
473,185333
474,185333
475,185333
476,185333
477,185333
478,185333
479,185333
480,185333
481,185333
482,185333
483,185333
484,185333
485,185333
486,185333
487,185333
488,185333
489,185333
490,185333
491,185333
492,185333
493,185333
494,185333
495,185333
496,185333
497,185333
498,185333
499,185333
500,185333
501,185333
502,185333
503,185333
504,185333
505,185333
506,185333
507,185333
