# Pos/mm I_01 I_00
0 40 90
0.5 50 110
1 50 100
1.5 35 108
2 40 125
2.5 35 130
3 40 135
3.5 35 160
4 30 150
4.5 28 160
5 30 180
5.5 25 190
6 20 190
6.5 10 195
7 10 200
7.5 15 190
8 15 205
8.5 15 210
9 12 150
9.5 10 150
10 9 130
10.5 7 200
11 6 195
11.5 4 205
12 3 205
12.5 2 205
13 1.5 200
13.5 1.2 200
14 1.2 205
14.5 1.3 200
15 1.2 190
15.5 2.5 185
16 3 185
16.5 4.5 180
17 5 170
17.5 7 165
18 8.5 155
18.5 9.5 145
19 10 135
19.5 12 130
20 13 120
20.5 14 110
21 14 100
21.5 14.5 90
22 15 82
22.5 15 75
23 14 70
23.5 13.5 60
24 13 53
24.5 12.5 45
25 12 43
25.5 10.5 37
26 10 33
26.5 6 27
27 5.5 23
27.5 5 20
28 5 18.5
28.5 4.5 15.3
29 4 14
29.5 4 12
30 3.5 11
