Pixel,GreyValue
0,239.000
1,239.000
2,239.000
3,239.000
4,239.333
5,239.333
6,239.333
7,239.333
8,239.333
9,239.333
10,239.333
11,239.333
12,239.333
13,239.333
14,239.333
15,239.333
16,239.333
17,239.333
18,239.333
19,239.333
20,239.333
21,239.333
22,239.333
23,239.333
24,239.333
25,239.333
26,239.333
27,239.333
28,239.333
29,239.333
30,239.333
31,239.333
32,239.333
33,239.333
34,239.333
35,239.333
36,239.333
37,239.333
38,239.333
39,239.333
40,239.333
41,239.000
42,221.667
43,204.778
44,215.667
45,239.333
46,238.667
47,220.778
48,208.778
49,209.444
50,239.333
51,239.333
52,239.333
53,239.333
54,239.333
55,239.333
56,209.556
57,196.444
58,193.000
59,193.000
60,193.000
61,193.000
62,200.000
63,91.778
64,122.111
65,193.222
66,189.000
67,37.667
68,194.667
69,197.222
70,197.111
71,196.444
72,196.333
73,196.333
74,196.222
75,196.222
76,195.000
77,195.000
78,195.111
79,194.778
80,194.444
81,192.667
82,191.000
83,190.333
84,190.000
85,188.444
86,188.556
87,189.000
88,189.889
89,190.333
90,190.778
91,192.667
92,194.000
93,196.000
94,196.667
95,197.333
96,197.778
97,197.667
98,198.444
99,198.333
100,197.000
101,197.778
102,197.889
103,197.889
104,197.667
105,197.667
106,197.333
107,197.222
108,196.778
109,197.222
110,196.222
111,195.778
112,195.444
113,194.333
114,193.556
115,193.444
116,193.333
117,194.000
118,193.333
119,191.889
120,190.000
121,188.333
122,186.000
123,171.333
124,66.333
125,184.889
126,185.333
127,186.000
128,185.000
129,184.556
130,184.667
131,184.000
132,183.333
133,184.000
134,183.333
135,183.000
136,183.000
137,183.333
138,184.000
139,184.333
140,184.667
141,185.111
142,185.000
143,185.333
144,185.556
145,184.333
146,185.333
147,179.667
148,171.556
149,15.000
150,179.667
151,183.778
152,184.667
153,184.667
154,185.000
155,185.444
156,186.444
157,186.333
158,186.000
159,186.111
160,186.333
161,185.667
162,185.333
163,185.667
164,185.667
165,184.667
166,182.000
167,181.556
168,181.000
169,179.000
170,179.778
171,180.222
172,180.667
173,181.111
174,181.889
175,182.667
176,182.667
177,182.333
178,181.556
179,180.556
180,180.000
181,179.556
182,179.889
183,179.556
184,179.333
185,179.667
186,155.444
187,18.333
188,186.000
189,188.333
190,190.000
191,190.333
192,190.333
193,189.333
194,189.000
195,191.333
196,191.667
197,191.333
198,193.667
199,194.000
200,194.333
201,194.444
202,195.222
203,195.333
204,194.333
205,188.333
206,75.889
207,116.778
208,193.000
209,194.000
210,194.000
211,194.000
212,194.000
213,194.000
214,194.778
215,196.333
216,197.222
217,197.222
218,198.000
219,196.111
220,195.444
221,195.778
222,195.556
223,194.667
224,194.333
225,193.333
226,193.000
227,193.667
228,193.333
229,193.000
230,193.667
231,194.667
232,195.000
233,196.889
234,197.111
235,198.222
236,198.556
237,197.778
238,177.889
239,0.000
240,92.333
241,196.889
242,197.444
243,198.556
244,199.111
245,200.889
246,202.333
247,203.444
248,203.889
249,204.667
250,205.556
251,206.333
252,206.778
253,206.444
254,207.889
255,207.444
256,208.111
257,208.000
258,107.556
259,0.000
260,207.000
261,209.556
262,210.000
263,210.556
264,212.556
265,212.778
266,212.333
267,212.111
268,212.444
269,212.444
270,213.000
271,213.556
272,214.222
273,215.111
274,214.667
275,214.111
276,214.000
277,214.444
278,215.778
279,216.222
280,217.111
281,216.556
282,216.444
283,216.333
284,216.778
285,218.111
286,218.333
287,217.556
288,217.111
289,217.778
290,214.667
291,59.667
292,208.444
293,218.556
294,218.778
295,219.111
296,220.667
297,219.667
298,219.111
299,218.111
300,218.556
301,218.556
302,219.667
303,219.667
304,220.778
305,221.889
306,220.889
307,220.667
308,220.222
309,220.222
310,220.444
311,197.333
312,91.889
313,215.222
314,220.556
315,221.333
316,221.889
317,222.222
318,223.444
319,224.111
320,224.333
321,223.889
322,223.556
323,223.111
324,222.778
325,222.000
326,222.444
327,221.778
328,221.556
329,220.667
330,220.778
331,221.222
332,221.778
333,222.222
334,223.556
335,223.778
336,223.556
337,223.667
338,223.667
339,223.778
340,224.111
341,224.111
342,224.333
343,224.111
344,224.444
345,224.889
346,225.111
347,219.556
348,100.889
349,189.667
350,224.778
351,225.778
352,225.222
353,225.556
354,226.333
355,225.667
356,225.778
357,226.333
358,225.778
359,225.778
360,226.111
361,225.111
362,224.778
363,224.000
364,222.222
365,221.444
366,221.222
367,221.667
368,220.667
369,218.333
370,216.778
371,214.111
372,203.111
373,33.778
374,191.667
375,210.111
376,210.222
377,211.333
378,214.556
379,216.778
380,219.333
381,220.222
382,220.333
383,220.222
384,221.000
385,221.111
386,222.667
387,223.556
388,223.556
389,223.556
390,224.667
391,224.667
392,224.556
393,225.444
394,226.889
395,227.444
396,227.222
397,227.444
398,229.444
399,229.889
400,230.111
401,230.444
402,230.444
403,229.778
404,229.444
405,228.889
406,228.222
407,228.000
408,228.333
409,227.333
410,227.444
411,225.556
412,224.444
413,223.333
414,220.556
415,219.889
416,219.333
417,219.778
418,219.111
419,218.333
420,217.667
421,217.333
422,216.333
423,215.333
424,214.667
425,136.111
426,99.222
427,208.444
428,210.889
429,210.444
430,211.778
431,212.667
432,212.778
433,212.333
434,211.667
435,211.889
436,211.222
437,210.222
438,209.889
439,209.000
440,208.667
441,209.333
442,208.889
443,207.111
444,205.667
445,205.667
446,205.667
447,205.667
448,205.667
449,205.667
450,205.667
451,205.667
452,205.667
453,205.667
454,205.667
455,205.667
456,205.667
457,205.667
458,205.667
459,205.667
460,205.667
461,205.667
462,205.667
463,205.667
464,205.667
465,205.667
466,205.667
467,205.667
468,205.667
469,205.667
470,205.667
471,205.667
472,205.667
473,205.667
474,205.667
475,205.667
476,205.667
477,205.667
478,205.667
479,205.667
480,205.667
481,205.667
482,205.667
483,205.667
484,205.667
485,205.667
486,205.667
487,205.667
488,205.667
489,205.667
490,205.667
491,205.667
492,205.667
493,205.667
494,205.667
495,205.667
496,205.667
497,205.667
498,205.667
499,205.667
500,205.667
501,205.667
502,205.667
503,205.667
504,205.667
505,205.667
506,205.667
507,205.667
