# Nr	Zeit (s)	Temperatur 1 (C)	Temperatur 4 (C)	Temperatur 5 (C)	Temperatur 8 (C)
1	0.0000	22.84	22.92	23.92	21.70
2	5.0000	22.95	23.04	24.29	21.72
3	10.0000	23.13	23.25	24.87	21.75
4	15.0000	23.39	23.54	25.55	21.77
5	20.0000	23.71	23.89	26.24	21.80
6	25.0000	24.06	24.27	26.93	21.83
7	30.0000	24.42	24.66	27.61	21.86
8	35.0000	24.78	25.05	28.25	21.91
9	40.0000	25.15	25.44	28.86	21.97
10	45.0000	25.52	25.82	29.46	22.02
11	50.0000	25.88	26.17	30.00	22.09
12	55.0000	26.23	26.54	30.54	22.17
13	60.0000	26.57	26.88	31.04	22.26
14	65.0000	26.90	27.22	31.51	22.35
15	70.0000	27.23	27.54	31.95	22.45
16	75.0000	27.55	27.85	32.38	22.56
17	80.0000	27.86	28.14	32.78	22.66
18	85.0000	28.17	28.43	33.16	22.79
19	90.0000	28.46	28.71	33.53	22.91
20	95.0000	28.75	28.97	33.87	23.03
21	100.0000	29.02	29.23	34.19	23.15
22	105.0000	29.30	29.48	34.50	23.27
23	110.0000	29.57	29.72	34.80	23.40
24	115.0000	29.83	29.95	35.08	23.52
25	120.0000	30.08	30.17	35.35	23.65
26	125.0000	30.33	30.40	35.61	23.77
27	130.0000	30.56	30.60	35.84	23.89
28	135.0000	30.80	30.80	36.09	24.02
29	140.0000	31.03	31.01	36.31	24.15
30	145.0000	31.26	31.20	36.53	24.27
31	150.0000	31.47	31.38	36.73	24.39
32	155.0000	31.69	31.56	36.94	24.51
33	160.0000	31.90	31.74	37.13	24.63
34	165.0000	32.11	31.92	37.32	24.76
35	170.0000	32.31	32.08	37.51	24.87
36	175.0000	32.51	32.25	37.68	24.99
37	180.0000	32.70	32.41	37.86	25.10
38	185.0000	32.89	32.57	38.02	25.22
39	190.0000	33.07	32.73	38.18	25.33
40	195.0000	33.25	32.87	38.34	25.44
41	200.0000	33.43	33.02	38.49	25.55
42	205.0000	33.61	33.16	38.64	25.66
43	210.0000	33.78	33.30	38.79	25.77
44	215.0000	33.94	33.44	38.93	25.88
45	220.0000	34.11	33.57	39.07	25.98
46	225.0000	34.28	33.71	39.21	26.09
47	230.0000	34.44	33.84	39.34	26.20
48	235.0000	34.59	33.98	39.47	26.29
49	240.0000	34.75	34.10	39.59	26.40
50	245.0000	34.90	34.22	39.72	26.50
51	250.0000	35.05	34.35	39.84	26.59
